"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"30","CL38",199.335384623334,104.966695620727,0.0527740187272727,0.0069496695947189,"16.7312725398154",-0.0414282403750499,"LTR.Gypsy","1875hits","22.2%","0.555"
"31","CL39",325.582766149926,209.029603883628,0.0333829123333333,0.00390190237585707,"21.7316603815622",-0.0318957303947208,"LTR.Copia","1429hits","17.7%","0.539"
"32","CL40",216.619350071756,156.592783624829,0.0608988406,0.0187780398512797,"4.55023664618023",-0.152332116867332,"LTR.Gypsy","3563hits","45.8%","0.538"
"33","CL42",529.69343677622,639.091120643488,0.0108550045,0.0151216885263883,"-51.4850376965192",0.0134630799854072,"rRNA","5500hits","81.4%","0.494"
"34","CL43",206.522197980487,98.6039211267764,0.0779518502727273,0.0100896091190208,"-8.77215283505329",0.0790167697250038,"LTR.Gypsy","1617hits","21%","0.493"
"35","CL44",632.206071112248,80.6635532995196,0.047366464,0.00550563893258203,"-10.3902235080332",0.0667114793078356,"LTR.Copia","1600hits","20%","0.47"
"36","CL45",218.485172712676,157.565352845964,0.0500645361,0.0126444724708707,"-11.1494242332135",0.0621688767115972,"LTR.Gypsy","184hits","1.29%","0.468"
"37","CL46",214.143967489379,130.497317617316,0.0687369825,0.0171196635118256,"5.93110968374341",-0.116866356806686,"LTR.Gypsy","48hits","0.212%","0.467"
"38","CL48",1003.0365034031,NA,0.058368188,NA,NA,NA,"LTR.Gypsy","669hits","5.66%","0.461"
"39","CL50",239.419473488701,203.818818085654,0.0627146601428571,0.0117450244057929,"6.50960432333654",-0.10648069316211,"LTR.Gypsy","143hits","1.64%","0.435"
"40","CL51",235.297355670176,224.821216006576,0.0488054732,0.0169805598013022,"-5.35013856525537",0.129556865136419,"LTR.Copia","159hits","1.84%","0.434"
"41","CL52",776.080253491908,273.707604620422,0.068284513,0.0100275378325489,"-15.6036309413993",0.0444221721958893,"LTR.Gypsy","28hits","0.433%","0.425"
"42","CL53",945.099961635193,NA,0.057364842,NA,NA,NA,"Simple_repeat","453hits","4.16%","0.414"
"43","CL54",342.073878303044,144.709056430517,0.0281247936666667,0.00915133809066944,"6.16055778590087",-0.112513704870408,"LTR.Copia","3356hits","57.7%","0.408"
"44","CL56",195.409539236642,100.481294982356,0.0377705527142857,0.00949650337920082,"7.60928320565884",-0.0910923094627979,"DNA.CMC.EnSpm","622hits","10.2%","0.403"
"45","CL57",544.106952555523,614.268384105581,0.0632087365,0.00559899099448111,"-119.992940466055",0.00577656633688403,"LTR","2707hits","41.3%","0.396"
"46","CL58",146.452285547835,91.9997371866501,0.029982967,0.00819869970921581,"-9.70151194495229",0.0714473356826191,"LTR.Copia","1600hits","27.9%","0.391"
"47","CL59",230.720926817947,132.919530191208,0.03047506,0.00737110847041105,"38.9541242931659",-0.0177939356393528,"Simple_repeat","283hits","2.78%","0.354"
"48","CL60",152.964462821661,80.5710368110373,0.0454092775,0.0116336159891545,"-14.1502458798994",0.0489848152776321,"LTR.Copia","2730hits","56%","0.344"
"49","CL62",122.154098640181,62.2623786244811,0.044905794,0.0145275608572936,"-9.70686687707227",0.0714079207367278,"LTR.Copia","3108hits","66.3%","0.335"
"50","CL63",632.256276908649,252.119733155917,0.083732269,0.0261612821318987,"-6.80402023551851",0.101873180350282,"LTR.Gypsy","3181hits","67%","0.317"
"51","CL64",196.327594851402,109.519484022868,0.0568345782857143,0.00960974396356091,"-9.55536686733691",0.0725400908393511,"LTR.Gypsy","192hits","3.14%","0.298"
"52","CL65",419.813764913726,59.73364000227,0.0680984063333333,0.00890895287566448,"3.76064813159481",-0.184315882875752,"LTR.Gypsy","1684hits","39.8%","0.287"
"53","CL66",381.908507040652,267.427680689003,0.067660207,0.00668343421873326,"-29.9100776673324",0.0231743691296729,"LTR.Gypsy","2969hits","74.2%","0.281"
"54","CL67",98.1561210812244,64.7056573714063,0.0464876504444444,0.0158245921621493,"8.2295356307705",-0.0842267670569705,"LTR.Gypsy","3168hits","82.3%","0.271"
"55","CL68",282.139335294201,149.345079286419,0.0372463596,0.0081456855552142,"-21.6297553766487",0.032046001838202,"LTR.Copia","75hits","1.53%","0.268"
"56","CL69",93.3316815152677,67.2317491401971,0.039566081125,0.0110371828901442,"-11.0532844807234",0.0627096119500743,"DNA.MULE.MuDR","152hits","3.46%","0.253"
"57","CL70",107.153501854299,41.3126696122792,0.0325069748,0.012041206420546,"-6.27084117466241",0.110534960343221,"LTR.Gypsy","993hits","26.2%","0.249"
"58","CL72",190.405482851879,40.9535795877415,0.0328322353333333,0.0143959732031791,"-4.11201812763201",0.168566178223321,"DNA.MULE.MuDR","57hits","1.16%","0.232"
"59","CL73",180.651405999119,40.610899196458,0.0769393562,0.0135188795421187,"-0.289238980865745",2.39645146890377,"Simple_repeat","4hits","0.0381%","0.228"
"60","CL74",871.673984398312,NA,0.000116369,NA,NA,NA,"rRNA","2601hits","94.9%","0.205"
"61","CL75",258.273299515467,NA,0.036787941,NA,NA,NA,"LTR.Copia","1935hits","67.7%","0.203"
"62","CL77",97.1203423466947,33.550246996995,0.045511961,0.0074429299230047,"14.2546339733787",-0.0486260946338178,"LTR.Gypsy","307hits","9.1%","0.181"
"63","CL78",671.666879804482,NA,0.039748902,NA,NA,NA,"Simple_repeat","379hits","7.45%","0.171"
"64","CL79",247.963823408216,216.747815865223,0.027458772,0.000372648102112436,"-1189.82213553278",0.000582563695749,"LTR.Copia","1080hits","42.8%","0.168"
"65","CL80",69.0976759858639,11.910870334007,0.0461672912857143,0.0121919109248804,"0.523406036896003",-1.32430108118464,"LTR.Copia","459hits","17.2%","0.168"
"66","CL81",301.639456072296,264.179040075101,0.0418505125,0.00617326352418107,"-72.0171942563103",0.00962474569743753,"LTR.Copia","216hits","6.38%","0.167"
"67","CL83",110.962565895108,66.1366701114012,0.04024155,0.0108513328066648,"8.9112663244207",-0.0777832414973868,"Simple_repeat","219hits","4.26%","0.15"
"68","CL84",659.442715659946,NA,0.064902486,NA,NA,NA,"Simple_repeat","216hits","2.88%","0.147"
"69","CL85",767.544794464101,NA,0,NA,NA,NA,"rRNA","755hits","38.7%","0.134"
"70","CL86",162.982129578318,49.1915156459479,0.0434358193333333,0.00718861975089908,"-13.7744043454153",0.0503213905427898,"Simple_repeat","22hits","0.492%","0.133"
"71","CL87",180.588781372702,110.472744449412,0.0641546793333333,0.00483380184292161,"-50.984769908259",0.0135951811061849,"LTR.Gypsy","13hits","0.346%","0.133"
"72","CL88",791.188882731574,NA,8.8375e-05,NA,NA,NA,"rRNA","1733hits","98.4%","0.132"
"73","CL89",99.6032794805121,46.6553308451017,0.0491432632,0.002272614066269,"0.411586639387309",-1.68408571665924,"DNA.MULE.MuDR","50hits","2.19%","0.132"
"74","CL90",291.573241257797,70.9357401687364,0.032454729,0.00248342548356458,"-42.9725137297897",0.0161300124288386,"Simple_repeat","95hits","2.23%","0.13"
"75","CL91",136.524184037399,75.040096209131,0.04541057775,0.003284849052554,"-45.6997005600648",0.0151674337482565,"LTR.Copia","426hits","22.3%","0.117"
"76","CL93",108.414574363784,7.55566458173375,0.0317132155,0.00145274637963284,"-20.4571824571584",0.0338828273156159,"DNA.CMC.EnSpm","271hits","15.2%","0.113"
"77","CL96",101.003168648848,NA,0.025907379,NA,NA,NA,"Simple_repeat","234hits","10.2%","0.103"
"78","CL97",144.744731943675,NA,0.025760805,NA,NA,NA,"LTR.Gypsy","771hits","54.6%","0.098"
"79","CL99",59.3753641104338,13.4836281789838,0,0,NA,NA,"Simple_repeat","12hits","0.277%","0.097"
"80","CL100",41.7789902951248,26.9710743748887,2.25245e-05,3.18544533856728e-05,"9502.83236820784",-7.29411141544389e-05,"ARTEFACT","10hits","0.591%","0.092"
"81","CL102",144.843580525835,93.9489767232289,0.0303399406666667,0.00743535279136588,"6.384856536419",-0.108561120615046,"Simple_repeat","63hits","2.63%","0.085"
"82","CL104",84.9675675291645,33.7929767951725,0.04113036375,0.0104486550897293,"-20.5590924142916",0.0337148725533286,"DNA.CMC.EnSpm","439hits","34.1%","0.084"
"83","CL105",124.410768669688,49.1166309769449,0.031974687,0.001177259913105,"38.7638979286188",-0.0178812559520286,"LTR.Copia","953hits","84.2%","0.082"
"84","CL106",73.29326342413,NA,0.058982742,NA,NA,NA,"Simple_repeat","106hits","5.4%","0.077"
"85","CL107",185.902354462395,31.7407822505429,0.0674539795,0.00523436148326733,"-14.2356355644641",0.0486909894132317,"LTR.Gypsy","14hits","0.602%","0.075"
"86","CL112",56.0809639512909,10.0710790444717,0.0336019308,0.0134553295250643,"0.122705304307028",-5.64887707564442,"LTR.Gypsy","494hits","50.1%","0.067"
"87","CL113",78.9810236298791,14.9696624610793,0.03171767,0.00603319834343079,"12.9801984080342",-0.0534003532743319,"Simple_repeat","42hits","2.12%","0.067"
"88","CL115",75.5648152095144,32.9357719708556,0.03860098,0.0111590211417601,"18.6200898793204",-0.0372257698567695,"DNA.MULE.MuDR","23hits","1.81%","0.063"
"89","CL117",250.118646716967,NA,0.054859073,NA,NA,NA,"Simple_repeat","15hits","0.576%","0.061"
"90","CL118",105.187727050978,37.2761897585584,0.0496597313333333,0.00172260592447035,"-35.4251296224416",0.0195665390062776,"Simple_repeat","50hits","2.66%","0.06"
"91","CL119",50.3846427099763,17.8968846102568,0.0574461553333333,0.00426008331437149,"-23.4614555190232",0.0295440826336593,"LTR.Copia","398hits","44.2%","0.059"
"92","CL121",93.0153317134859,29.8919277118664,0.031781511,0.00146483185314493,"-86.1542150287881",0.00804542389862565,"LTR.Copia","530hits","73.5%","0.051"
"93","CL124",127.547210026003,NA,0.030451775,NA,NA,NA,"Simple_repeat","52hits","2.96%","0.049"
"94","CL125",133.074015658525,NA,0.077970967,NA,NA,NA,"LTR","23hits","3%","0.048"
"95","CL126",90.6628586043736,8.27404456437648,0.061043602,0.00438864833793937,"-9.04369522535962",0.0766442436733467,"LTR.Copia","286hits","40.7%","0.046"
"96","CL129",77.0920897452293,NA,0.070011059,NA,NA,NA,"LTR.Copia","522hits","87.6%","0.044"
"97","CL130",155.158645580232,NA,0.053576325,NA,NA,NA,"Simple_repeat","29hits","2.43%","0.042"
"98","CL131",123.135257257343,NA,0.049620538,NA,NA,NA,"Simple_repeat","22hits","1.27%","0.04"
"99","CL132",62.3903405942282,46.1195344492473,0.037167817,0.00705892537421894,"-50.4689653132639",0.0137341270275216,"Simple_repeat","12hits","1.11%","0.04"
"100","CL134",54.8439831194851,44.2507156405358,0.022877938,0.00704052786998603,"56.5552348274641",-0.0122561100254391,"LTR.Gypsy","359hits","63.3%","0.039"
"101","CL136",131.341347315174,NA,0.035119358,NA,NA,NA,"Simple_repeat","43hits","2.91%","0.037"
"102","CL137",147.533995481478,NA,0.028614752,NA,NA,NA,"Simple_repeat","49hits","4.85%","0.037"
"103","CL139",43.1545343886023,4.27394862879868,0.0386581893333333,0.00632131620742273,"5.53154855581401",-0.125307980860333,"Simple_repeat","13hits","1.17%","0.036"
"104","CL141",112.618327010245,20.8714909211649,0.0523176495,0.0231938653911357,"3.49028103947191",-0.198593515170005,"LTR.Gypsy","19hits","1.55%","0.035"
"105","CL142",129.137786492746,NA,0.051546188,NA,NA,NA,"Simple_repeat","21hits","1.99%","0.034"
"106","CL143",99.0862071415377,NA,0.05084137,NA,NA,NA,"LTR.Gypsy","367hits","74.3%","0.034"
"107","CL144",96.5105787402134,44.9769426485662,0.0389460175,0.00754321220205189,"-27.8712530123895",0.024869609566955,"Simple_repeat","29hits","2.36%","0.034"
"108","CL147",77.9721357829973,13.8215226764945,0.0345043445,0.00518208225050708,"-14.9343560171879",0.0464129273309276,"Simple_repeat","1hits","0.0792%","0.032"
"109","CL148",81.425110476434,1.40633639062019,0.053700686,0.00621639774494023,"1.20669626605482",-0.574417274718287,"LTR.Gypsy","77hits","15.2%","0.032"
"110","CL149",64.5730375927741,28.9306722404576,0.0489923966666667,0.00977265465780698,"-17.3762862999413",0.0398904097570196,"LTR.Gypsy","67hits","14.7%","0.03"
"111","CL151",62.0392315671313,11.3568922798441,0.0308204945,0.0242721212080585,"3.29392017852638",-0.210432294346016,"LTR.Gypsy","372hits","92.8%","0.029"
"112","CL154",89.0275942424374,61.0325075945073,0.046637442,0.00230643948466072,"140.916175424259",-0.00491886171671262,"Simple_repeat","17hits","1.99%","0.027"
"113","CL156",61.0157437799281,25.2550767171475,0.0514830165,0.00385455008001252,"-48.040128643136",0.0144285038391333,"LTR.Copia","26hits","5.4%","0.027"
"114","CL158",130.664989982523,NA,0.063663801,NA,NA,NA,"Simple_repeat","10hits","1.3%","0.026"
"115","CL159",131.549511914404,NA,0.034341187,NA,NA,NA,"Simple_repeat","21hits","2.62%","0.024"
"116","CL163",33.6021711638746,NA,0.059824822,NA,NA,NA,"LTR.Copia","68hits","16%","0.023"
"117","CL169",77.7958708100658,NA,0.019924718,NA,NA,NA,"Low_complexity","7hits","1.15%","0.021"
"118","CL170",97.3286727197806,NA,0.013137137,NA,NA,NA,"LTR.Gypsy","71hits","18%","0.021"
"119","CL171",62.7302954090115,NA,0.049523041,NA,NA,NA,"LTR.Copia","236hits","82.1%","0.02"
"120","CL174",70.9402219475113,NA,0.054571855,NA,NA,NA,"Simple_repeat","20hits","3.93%","0.019"
"121","CL175",106.344544382398,NA,0.039707719,NA,NA,NA,"Low_complexity","5hits","0.652%","0.019"
"122","CL176",63.2331585603251,NA,0.041836494,NA,NA,NA,"LTR.Copia","209hits","81.4%","0.019"
"123","CL180",141.422055501087,NA,0.020324316,NA,NA,NA,"Simple_repeat","30hits","5.03%","0.018"
"124","CL182",78.5265072395811,NA,0.027443972,NA,NA,NA,"DNA.MULE.MuDR","16hits","4.55%","0.018"
"125","CL185",71.8902482345084,NA,0.034432494,NA,NA,NA,"LTR.Gypsy","173hits","70.5%","0.017"
"126","CL187",74.7421742898959,NA,0.051602078,NA,NA,NA,"Low_complexity","7hits","1.77%","0.016"
"127","CL191",93.737016354775,NA,0.043625541,NA,NA,NA,"Simple_repeat","2hits","0.297%","0.015"
"128","CL192",46.0057973485656,NA,0.059621478,NA,NA,NA,"LTR.Copia","121hits","49.5%","0.015"
"129","CL200",45.6004092246046,NA,0.068607812,NA,NA,NA,"LTR.Gypsy","80hits","40.9%","0.013"
"130","CL201",50.6789149864302,NA,0.042205445,NA,NA,NA,"LTR.Copia","134hits","70.3%","0.013"
"131","CL202",66.0821006863038,NA,0.020125321,NA,NA,NA,"LTR.Gypsy","18hits","5.38%","0.013"
"132","CL203",40.4076615939867,NA,0.043295352,NA,NA,NA,"LTR.Copia","147hits","80.5%","0.013"
"133","CL205",55.434161728974,NA,0.027294938,NA,NA,NA,"LTR.Gypsy","44hits","19.2%","0.013"
"134","CL206",99.4187021327991,NA,0.050369936,NA,NA,NA,"DNA.MULE.MuDR","8hits","2.66%","0.012"
"135","CL208",100.7270841326,NA,0.048544634,NA,NA,NA,"Simple_repeat","22hits","7.75%","0.012"
"136","CL212",73.9069582391975,NA,0.047393748,NA,NA,NA,"LTR.Gypsy","105hits","63.7%","0.012"
"137","CL215",71.8935163476704,NA,0.032087083,NA,NA,NA,"Low_complexity","5hits","1.66%","0.011"
"138","CL216",46.8636060076445,NA,0.045916791,NA,NA,NA,"Simple_repeat","4hits","0.825%","0.011"
"139","CL217",79.0074882418972,NA,0.020165149,NA,NA,NA,"Simple_repeat","7hits","2.23%","0.011"
"140","CL221",46.0354945507765,NA,0.036540677,NA,NA,NA,"LTR.Gypsy","14hits","7.78%","0.011"
"141","CL223",61.4280233599045,NA,0.045456584,NA,NA,NA,"Simple_repeat","1hits","0.312%","0.011"
"142","CL226",60.3766855648863,NA,0.049649414,NA,NA,NA,"DNA.hAT.Ac","67hits","37.8%","0.01"
"143","CL232",53.9937763758046,NA,0.026783727,NA,NA,NA,"LTR.Gypsy","99hits","68%","0.01"
"144","CL234",49.7450871733663,NA,0.044244079,NA,NA,NA,"LTR.Copia","103hits","73.8%","0.01"
