"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"73","CL108",55.7262248249286,6.30094783991256,0.064025209,0.00193934782763486,"25.3748118148524",-0.0273163476291963,"LTR.Gypsy","40hits","1.47%","0.109"
"74","CL109",102.45681246639,NA,0.049520243,NA,NA,NA,"LTR.Gypsy","448hits","22.6%","0.108"
"75","CL112",38.6089950371743,25.7616676256243,0.04479157525,0.0130146367428744,"4.31065392969985",-0.160798614749435,"LTR.Copia","617hits","35.1%","0.104"
"76","CL116",60.3767957461351,19.9430970580123,0.021119613,0.00690476995678582,"-19.1098932610111",0.0362716406152899,"LTR.Copia","679hits","41.8%","0.097"
"77","CL118",138.377860262369,NA,7.3915e-05,NA,NA,NA,"Low_complexity","27hits","0.928%","0.094"
"78","CL119",198.600028650437,NA,0.001389261,NA,NA,NA,"rRNA","119hits","6.26%","0.093"
"79","CL122",49.2527511044543,20.350123525581,0.0461137823333333,0.0204072113424421,"-9.87405750236044",0.0701988195221919,"LTR.Gypsy","1039hits","70.5%","0.091"
"80","CL123",210.214705774263,NA,0.000210161,NA,NA,NA,"LTR.Copia","257hits","15.6%","0.089"
"81","CL125",66.3382616584903,39.5968774365201,0.0297658716666667,0.00497665645528625,"15.5277808229331",-0.0446391656646925,"LTR.Gypsy","128hits","5.82%","0.087"
"82","CL130",38.1646620110957,11.0696500564364,0.0460735156,0.0109228563447594,"5.14566042233987",-0.134705193049788,"LTR.Gypsy","81hits","4%","0.081"
"83","CL133",117.802046481209,NA,5.1317e-05,NA,NA,NA,"LTR.Copia","216hits","14%","0.078"
"84","CL135",25.4696759125577,15.782211946824,0.035150403,0.0193710609836233,"14.046645072533",-0.0493461020037683,"DNA.CMC.EnSpm","20hits","1.27%","0.077"
"85","CL136",57.040519867928,14.0975617219539,0.0243684413333333,0.00782020344712299,"12.6410061149867",-0.0548332287995791,"LTR.Caulimovirus","251hits","19.3%","0.077"
"86","CL137",93.7967304001386,89.0550225078302,0.030782606,0.00437286288615616,"114.219228514342",-0.00606856822249427,"Simple_repeat","31hits","1.7%","0.074"
"87","CL138",39.3040743871344,22.4203742123533,0.0560354286666667,0.00112731054227765,"-66.2508010283455",0.0104624724501577,"DNA.hAT.Ac","139hits","10.8%","0.074"
"88","CL140",173.352393624003,NA,0.045709791,NA,NA,NA,"LTR.Copia","832hits","70.5%","0.072"
"89","CL141",181.900273979178,NA,0.030489428,NA,NA,NA,"Simple_repeat","102hits","2.38%","0.071"
"90","CL142",23.1335777870612,NA,0.085974735,NA,NA,NA,"Low_complexity","7hits","0.402%","0.07"
"91","CL153",91.1998907983347,NA,0.057309393,NA,NA,NA,"DNA.hAT.Ac","277hits","24%","0.066"
"92","CL155",149.721033245757,NA,0.049332154,NA,NA,NA,"LTR.Copia","871hits","88.1%","0.064"
"93","CL157",3.62239774156556,NA,0.081409915,NA,NA,NA,"LTR.Copia","202hits","14.2%","0.062"
"94","CL160",48.0338825167084,24.6705893599661,0.056475359,0.00879589075579683,"26.5716803537463",-0.0260859370326656,"DNA.MULE.MuDR","65hits","5.36%","0.06"
"95","CL162",25.6493411524526,NA,0.044846341,NA,NA,NA,"LTR.Copia","194hits","13.3%","0.059"
"96","CL163",127.422443192259,NA,0.000199235,NA,NA,NA,"Simple_repeat","23hits","0.657%","0.059"
"97","CL164",95.2447024817128,NA,0.013646606,NA,NA,NA,"Simple_repeat","6hits","0.359%","0.058"
"98","CL169",208.290926436628,NA,0.00060099,NA,NA,NA,"rRNA","837hits","97.1%","0.057"
"99","CL170",32.1518403155648,11.4694943217021,0.0746769843333333,0.00357244454692922,"35.3718774481625",-0.0195959963271883,"RC.Helitron","406hits","40.8%","0.057"
"100","CL175",31.1360748251411,11.2650596307321,0.079585641,0.00700700623522578,"23.335846322589",-0.0297031087271508,"Simple_repeat","21hits","1.01%","0.055"
"101","CL176",25.9280454026924,NA,0.079075855,NA,NA,NA,"LTR.Copia","786hits","94.4%","0.054"
"102","CL177",130.165985031272,NA,0.030129228,NA,NA,NA,"LTR.Copia","145hits","14.9%","0.054"
"103","CL178",45.8882497958094,47.06072457368,0.0330114465,0.00959076575198459,"-58.81823805542",0.0117845621269179,"Simple_repeat","10hits","0.526%","0.053"
"104","CL180",59.8311124244645,29.4458603422185,0.0215497745,0.00432605029592127,"-51.5604330775795",0.0134433932996066,"Simple_repeat","40hits","1.28%","0.052"
"105","CL181",88.1750946701937,NA,0.000145449,NA,NA,NA,"Simple_repeat","12hits","0.763%","0.05"
"106","CL182",60.3241699435916,NA,0.077980776,NA,NA,NA,"RC.Helitron","271hits","31.5%","0.049"
"107","CL184",23.6597108105898,0.717123278270291,0.0446080275,0.00316887004850948,"-4.1546149547301",0.166837887051551,"LTR.Copia","583hits","82.2%","0.045"
"108","CL186",57.0263696521372,NA,0.061860712,NA,NA,NA,"DNA.PIF.Harbinger","33hits","3.1%","0.044"
"109","CL188",74.288557900508,NA,0.018634904,NA,NA,NA,"Simple_repeat","30hits","1.35%","0.044"
"110","CL190",104.180338750166,NA,0.021907688,NA,NA,NA,"LTR.Gypsy","58hits","5.52%","0.043"
"111","CL191",137.453096159716,NA,0.011442408,NA,NA,NA,"Simple_repeat","72hits","4.06%","0.043"
"112","CL193",72.9272871411289,NA,0.06148552,NA,NA,NA,"LTR.Copia","557hits","84.7%","0.042"
"113","CL199",89.9908723608035,NA,0.000142,NA,NA,NA,"Simple_repeat","13hits","0.49%","0.04"
"114","CL202",63.2603897209432,NA,0.040348076,NA,NA,NA,"Simple_repeat","21hits","1.38%","0.038"
"115","CL206",69.7451386133638,NA,0.018096146,NA,NA,NA,"Simple_repeat","34hits","3.01%","0.037"
"116","CL209",38.2536583682901,NA,0.036716905,NA,NA,NA,"LTR.Gypsy","56hits","7.96%","0.036"
"117","CL212",103.213574007004,NA,0.046465588,NA,NA,NA,"LTR.Copia","44hits","7.17%","0.034"
"118","CL215",43.3081354490656,NA,0.075158623,NA,NA,NA,"LTR.Copia","459hits","87.4%","0.034"
