"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"109","CL251",595.094444444444,NA,0.085797523,NA,NA,NA,"LTR.Copia","245hits","5.24%","0.062"
"110","CL252",310.921111111111,86.9772767827503,0.017369749,0.00623000530783738,"19.7612390374338",-0.03507609918826,"LTR.Copia","2316hits","56.4%","0.062"
"111","CL253",404.155277777777,10.6690628168028,0.044166072,0.00176543774322914,"-6.49471908059559",0.106724736198503,"DNA.CMC.EnSpm","954hits","22.1%","0.062"
"112","CL256",156.973814814815,80.0825127507709,0.0499632165,0.00792028630561468,"19.4001114681738",-0.0357290308201097,"LTR.Copia","3350hits","88%","0.059"
"113","CL258",188.567555555555,17.6709274063709,0.0429639226,0.00807144849992545,"2.88949606880716",-0.239885144002321,"DNA.CMC.EnSpm","657hits","16%","0.059"
"114","CL259",848.216666666667,NA,0.033982749,NA,NA,NA,"LTR.Gypsy","555hits","12.7%","0.059"
"115","CL264",435.861111111111,37.9928473531532,0.0563417355,0.0118859848662414,"-3.18899426967566",0.217356044553332,"LTR.Gypsy","156hits","2.73%","0.056"
"116","CL266",381.922222222222,34.4682498561815,0.0472664926666667,0.00388230977704412,"8.59848700206467",-0.0806126915576551,"Simple_repeat","13hits","0.17%","0.056"
"117","CL267",217.999259259259,103.32282167612,0.035487127,0.0217520318509343,"8.16611645800533",-0.0848808836029329,"DNA.CMC.EnSpm","249hits","5.42%","0.055"
"118","CL268",296.445833333333,77.4623693676841,0.040568861,0.0054225699738954,"21.1710060621216",-0.0327403987569632,"DNA.MULE.MuDR","78hits","1.28%","0.055"
"119","CL271",281.527777777778,NA,0.052212774,NA,NA,NA,"DNA.CMC.EnSpm","565hits","14.8%","0.053"
"120","CL272",636.005555555555,NA,0.001109444,NA,NA,NA,"rRNA","91hits","2.45%","0.052"
"121","CL274",152.446111111111,42.7757085394195,0.0584822446666667,0.0111580329055369,"-9.3613669785404",0.0740433723139886,"LTR.Copia","2748hits","80.3%","0.052"
"122","CL275",147,NA,0.057968841,NA,NA,NA,"LTR.Gypsy","1468hits","40.3%","0.052"
"123","CL280",263.309444444445,26.8951992595306,0.0444160195,0.00327541124144442,"13.5669959944259",-0.0510906895560913,"DNA.CMC.EnSpm","938hits","26.7%","0.05"
"124","CL281",180.733888888889,NA,0.043264122,NA,NA,NA,"LTR.Copia","153hits","4.52%","0.05"
"125","CL282",426.762777777778,NA,0.058268737,NA,NA,NA,"Simple_repeat","134hits","3.06%","0.049"
"126","CL283",352.963333333333,NA,0.074009224,NA,NA,NA,"Simple_repeat","34hits","0.455%","0.049"
"127","CL284",282.650185185185,48.6731977870665,0.0620563213333333,0.00361811860676711,"8.72686193297085",-0.0794268530754651,"Simple_repeat","35hits","0.68%","0.048"
"128","CL292",350.873611111111,45.3094383529305,0.054297455,0.00606356368525457,"-9.27482509425343",0.0747342589769602,"Simple_repeat","59hits","1.12%","0.045"
"129","CL295",642.277777777778,NA,0.039718031,NA,NA,NA,"Simple_repeat","365hits","7.84%","0.044"
"130","CL297",762.488888888889,NA,0.055179401,NA,NA,NA,"Simple_repeat","46hits","0.783%","0.042"
"131","CL299",818.427777777778,NA,0.03964517,NA,NA,NA,"Simple_repeat","2hits","0.0306%","0.042"
"132","CL301",556.276666666666,12.8159175719059,0.0521987175,0.00826532237492165,"-1.21065890234677",0.572537135948312,"Simple_repeat","72hits","1.89%","0.041"
"133","CL302",980.261111111111,NA,0.05952284,NA,NA,NA,"Simple_repeat","15hits","0.218%","0.041"
"134","CL303",87.3244444444444,NA,0.033343426,NA,NA,NA,"LTR.Caulimovirus","126hits","3.92%","0.041"
"135","CL304",305.408888888889,95.5104842832694,0.045928759,0.00339603870856738,"40.6644322926955",-0.017045539344329,"LTR.Gypsy","910hits","33.4%","0.041"
"136","CL305",211.864722222222,17.5122851102861,0.071782943,0.00192201522621441,"18.6985070433889",-0.0370696536868711,"Simple_repeat","138hits","2.21%","0.041"
"137","CL306",142.368888888889,NA,0.026857156,NA,NA,NA,"LTR.Copia","225hits","7.77%","0.041"
"138","CL307",384.325555555556,103.637498221707,0.0426717695,0.00510571330392537,"-23.2216883303582",0.0298491294301707,"DNA.CMC.EnSpm","338hits","11.2%","0.04"
"139","CL309",143.564583333334,25.4368650257954,0.068422472,0.00730995673282234,"-4.34050244971745",0.159692843994378,"LTR.Copia","2121hits","83.3%","0.039"
"140","CL310",136.224259259259,48.6644123029781,0.061630254,0.012417850883534,"9.57427540391185",-0.0723968291403796,"LTR.Copia","1629hits","64.7%","0.039"
"141","CL312",172.758111111111,195.827249313752,0.0305994903333333,0.0105422706573984,"39.2337511756089",-0.0176671146599631,"LTR.Copia","68hits","1.23%","0.038"
"142","CL314",201.471666666667,NA,0.048816743,NA,NA,NA,"Simple_repeat","393hits","8.8%","0.038"
"143","CL315",310.516666666667,30.8589256051822,0.054911969,0.00369725488364435,"11.692764605114",-0.0592800081049086,"Simple_repeat","81hits","2.2%","0.038"
"144","CL316",193.980416666667,198.034092906058,0.0126697245,0.0013423920195012,"-417.06953266788",0.00166194633332737,"LTR.Copia","883hits","33%","0.037"
"145","CL318",234.096944444444,99.0644815329331,0.0454149095,0.00767431545613812,"24.703669673353",-0.0280584702485567,"Simple_repeat","2hits","0.0585%","0.036"
"146","CL320",230.458703703704,71.5167311951802,0.0474188566666667,0.00781325987476779,"-19.0078398649467",0.0364663836335349,"Simple_repeat","1hits","0.0145%","0.036"
"147","CL321",251.322222222222,12.9314116794995,0.0326887375,0.00124294169336799,"-17.9862382421095",0.038537640346448,"Simple_repeat","20hits","0.463%","0.036"
"148","CL323",319.262222222222,NA,0.065655492,NA,NA,NA,"LTR.Gypsy","358hits","13.1%","0.035"
"149","CL327",504.406111111111,NA,0.071712875,NA,NA,NA,"LTR.Gypsy","1243hits","52%","0.035"
"150","CL328",150.198333333333,NA,0.052754514,NA,NA,NA,"DNA.hAT.Ac","372hits","14%","0.035"
"151","CL330",247.514444444444,NA,0.061761855,NA,NA,NA,"LTR.Gypsy","5hits","0.128%","0.034"
"152","CL333",199.31,NA,0.049094129,NA,NA,NA,"Simple_repeat","21hits","0.576%","0.033"
"153","CL337",248.061111111111,NA,0.050820911,NA,NA,NA,"Simple_repeat","27hits","0.591%","0.032"
"154","CL340",556.944444444444,NA,0.032803506,NA,NA,NA,"LTR.Copia","49hits","1.95%","0.031"
"155","CL342",284.143333333333,NA,0.035313689,NA,NA,NA,"Simple_repeat","47hits","1.49%","0.031"
"156","CL355",378.413333333333,NA,0.059092231,NA,NA,NA,"Simple_repeat","43hits","1.42%","0.029"
"157","CL356",242.1575,3.04095199620313,0.032419962,0.0026426206758538,"2.06382342604929",-0.335855854629392,"DNA.CMC.EnSpm","25hits","1.02%","0.029"
"158","CL357",657.122222222222,NA,0.045412139,NA,NA,NA,"LTR.Gypsy","52hits","1.79%","0.028"
"159","CL361",117.067444444444,10.6438346685119,0.0375643768,0.0033403160040114,"-2.8287895369097",0.24503313926888,"LTR.Copia","1270hits","68.2%","0.028"
"160","CL362",181.138888888889,NA,0.03275313,NA,NA,NA,"Simple_repeat","67hits","1.51%","0.028"
"161","CL364",342.867777777778,NA,0.058426176,NA,NA,NA,"Simple_repeat","46hits","1.72%","0.027"
"162","CL365",92.1894444444445,37.1631753965612,0.0502920345,0.0022206596539282,"-81.0834781695746",0.00854856249642283,"LTR.Gypsy","1219hits","64.9%","0.027"
"163","CL367",488.641666666667,NA,0.033555526,NA,NA,NA,"Simple_repeat","18hits","0.573%","0.027"
"164","CL369",325.315833333334,32.1808224489001,0.062331051,0.00678836227810641,"-6.33900425949384",0.109346381889841,"Simple_repeat","103hits","3.92%","0.027"
"165","CL377",196.209444444444,NA,0.041900057,NA,NA,NA,"Simple_repeat","41hits","1.62%","0.025"
"166","CL379",282.437777777778,18.4727718213976,0.046638248,0.0037658725256907,"7.54810442214019",-0.0918306294924588,"LTR.Copia","1026hits","61.1%","0.025"
"167","CL380",268.939166666667,106.067981363486,0.0455257685,0.00193464344621961,"90.9433714919956",-0.00762174492971104,"LTR.Gypsy","899hits","53.2%","0.025"
"168","CL382",342.485555555556,NA,0.038522297,NA,NA,NA,"LTR.Gypsy","132hits","6.35%","0.023"
"169","CL384",302.002222222222,NA,0.049201027,NA,NA,NA,"Simple_repeat","80hits","3.83%","0.023"
"170","CL385",172.683888888889,NA,0.049833977,NA,NA,NA,"Simple_repeat","8hits","0.252%","0.023"
"171","CL388",205.738888888889,NA,0.053088354,NA,NA,NA,"Simple_repeat","1hits","0.042%","0.022"
"172","CL391",235.814166666666,15.6753788276036,0.0453560795,0.00356762736141045,"8.09791329830018",-0.0855957769645968,"LTR.Gypsy","94hits","5.88%","0.021"
"173","CL392",155.436666666667,NA,0.03070988,NA,NA,NA,"LTR.Copia","27hits","1.22%","0.021"
"174","CL396",149.771111111111,NA,0.050849423,NA,NA,NA,"Simple_repeat","19hits","0.581%","0.021"
"175","CL400",421.287222222222,NA,0.001516195,NA,NA,NA,"rRNA","743hits","57.2%","0.02"
"176","CL406",83.6883333333333,NA,0.025807827,NA,NA,NA,"LTR.Copia","11hits","0.701%","0.019"
"177","CL409",355.720555555556,NA,0.05592758,NA,NA,NA,"LTR.Gypsy","18hits","1.07%","0.019"
"178","CL410",61.5444444444445,3.74385179121288,0.0256166083333333,0.00543680599428537,"-3.38626875723341",0.204693493119621,"Low_complexity","2hits","0.0859%","0.019"
"179","CL412",212.748888888889,NA,0.043868263,NA,NA,NA,"Simple_repeat","6hits","0.25%","0.019"
"180","CL416",480.94,NA,0.000640559,NA,NA,NA,"rRNA","1142hits","98.4%","0.018"
"181","CL417",124.0275,32.3198867825336,0.0563035345,0.00706321256263327,"-16.2077557550225",0.042766388575738,"LTR.Copia","762hits","64.1%","0.018"
"182","CL421",75.6112962962963,11.5760844668809,0.0276841323333333,0.00329471921628632,"19.2895579772557",-0.0359338032202311,"Simple_repeat","10hits","0.311%","0.017"
"183","CL427",444.310555555556,NA,0.066669109,NA,NA,NA,"LTR.Copia","3hits","0.177%","0.016"
"184","CL429",139.502222222222,NA,0.05637099,NA,NA,NA,"Simple_repeat","11hits","0.554%","0.016"
"185","CL430",79.6205555555556,12.3955818742002,0.0411625505,0.00387679141670796,"17.5112530355027",-0.0395829572649452,"LTR.Copia","29hits","2.05%","0.016"
"186","CL431",211.47,NA,0.055831501,NA,NA,NA,"Simple_repeat","5hits","0.344%","0.016"
"187","CL435",124.648333333333,NA,0.054212589,NA,NA,NA,"Simple_repeat","24hits","1.67%","0.016"
"188","CL437",175.475,NA,0.055800444,NA,NA,NA,"Simple_repeat","7hits","0.414%","0.015"
"189","CL445",80.7594444444444,NA,0.049887035,NA,NA,NA,"Simple_repeat","16hits","0.805%","0.015"
"190","CL452",144.493611111112,15.1843324517799,0.0180128065,0.00459240610668574,"9.95617073276379",-0.0696198567868001,"DNA.MULE.MuDR","11hits","1%","0.014"
"191","CL453",130.812777777778,NA,0.025884385,NA,NA,NA,"DNA.CMC.EnSpm","282hits","29.8%","0.014"
"192","CL464",264.631111111111,NA,0.039820245,NA,NA,NA,"Simple_repeat","38hits","3.44%","0.013"
"193","CL476",385.548333333333,NA,0.001179472,NA,NA,NA,"rRNA","743hits","98.4%","0.012"
"194","CL478",130.0475,21.6009336539475,0.026866245,0.0049772836205788,"-14.5603380635574",0.0476051570735711,"DNA.CMC.EnSpm","169hits","18.9%","0.012"
"195","CL489",185.711111111111,NA,0.051362522,NA,NA,NA,"LTR.Gypsy","12hits","0.973%","0.011"
"196","CL498",122.538333333333,NA,0.051281763,NA,NA,NA,"Simple_repeat","1hits","0.0366%","0.011"
"197","CL509",117.592777777778,NA,0.019501221,NA,NA,NA,"DNA.MULE.MuDR","58hits","7.57%","0.01"
